year,paper_id,paper_title_ascii,paper_title,author_name1,author_name2
2017,2802,Economic Migration and Business Cycles in a Small Open Economy with Matching Frictions\,economic migration and business cycles in a small open economy with matching frictions,matija lozej,
2020,4,Semi-parametric instrument-free demand estimation: relaxing optimality and equilibrium assumptions,semi-parametric instrument-free demand estimation: relaxing optimality and equilibrium assumptions,john rust,sung-jin cho
2018,2433,Economic costs and international spillovers of  the Donbass war in Ukraine,economic costs and international spillovers of  the donbass war in ukraine,julia bluszcz,marica valente
2018,2338,Arranged Marriages under Transferable Utilities,arranged marriages under transferable utilities,pauline morault,
2016,1916,Robust Analysis of Income Inequality Using t-Statistic Based Inference,robust analysis of income inequality using t-statistic based inference,marat ibragimov,rustam ibragimov
2019,665,Labour Market Reform and Firm-level Employment Adjustment: Empirical Evidence from the Hukou Reform in China,labour market reform and firm-level employment adjustment: empirical evidence from the hukou reform in china,juliane scheffel,feicheng wang
2019,545,"Negative Interest Rates, Exchange Rates and Capital Flows","negative interest rates, exchange rates and capital flows",romina deborah ruprecht,
2017,1799,What drives the substitutability between native and foreign workers? Evidence about the role of language,what drives the substitutability between native and foreign workers? evidence about the role of language,elena gentili,
2016,795,"Structural Factors, Global Shocks and Sovereign Debt Credit Ratings","structural factors, global shocks and sovereign debt credit ratings",carlos uribe teran,
2019,544,"Aid, Redistricting and Elections: Evidence from Uganda","aid, redistricting and elections: evidence from uganda",lisa chauvet,ana mie horigoshi reis
2017,3170,US Banking Deregulation and Growth: A Reappraisal,us banking deregulation and growth: a reappraisal,iryna stewen,
2020,65,Credit easing versus quantitative easing: Evidence from corporate and government bond purchase programs. ,credit easing versus quantitative easing: evidence from corporate and government bond purchase programs. ,iryna kaminska,
2018,387,Coordinating Monetary and Financial Regulatory Policies,coordinating monetary and financial regulatory policies,alejandro van der ghote,
2017,2966,Agency Costs and Corporate Liquidity Demand: Evidence from Bank Loan Commitment Usage during the Financial Crisis,agency costs and corporate liquidity demand: evidence from bank loan commitment usage during the financial crisis,ki young park,
2016,1356,Getting a Yes. An Experiment on the Power of Asking,getting a yes. an experiment on the power of asking,lisa bruttel,verena utikal
2017,2554,Eigenvalue Productivity: Measurement of Individual Contributions in Teams,eigenvalue productivity: measurement of individual contributions in teams,julia muller,thorsten upmann
2018,2281,"Firms, uncertainty, and risk externalities","firms, uncertainty, and risk externalities",felipe iachan,dejanir silva
2018,2291,Corporate Taxation and the Location Choice of Foreign Direct Investment in EU Countries,corporate taxation and the location choice of foreign direct investment in eu countries,ronald b. davies,iulia siedschlag
2016,2097,Effects of economic policies on microeconomic volatility,effects of economic policies on microeconomic volatility,volker ziemann,boris cournede
2016,2617,Normality tests for latent variables,normality tests for latent variables,dante amengual,enrique sentana
